timestamp,fx,fy,fz,tx,ty,tz,frequency
1748227318.599929,0.1,0.0,-0.03,-0.0,0.0,-0.0,100
1748227318.615821,0.1,0.0,-0.03,-0.0,0.0,-0.0,99
1748227318.616138,0.11,0.01,-0.06,-0.0,0.0,0.0,100
1748227318.6319025,0.17,-0.06,-0.07,-0.0,0.0,-0.0,100
1748227318.647797,0.11,-0.14,-0.05,-0.0,0.0,-0.0,99
1748227318.6481228,-0.01,-0.01,0.0,-0.0,0.01,0.0,100
1748227318.6638386,0.03,0.07,0.01,-0.0,0.01,0.0,99
1748227318.664145,0.09,0.0,0.01,-0.0,0.0,0.0,100
1748227318.6799703,0.1,0.0,0.0,-0.0,0.0,0.0,100
1748227318.6958647,0.13,-0.05,0.0,-0.0,0.0,0.0,99
1748227318.6961656,0.2,0.01,-0.02,-0.0,0.0,0.0,100
1748227318.711946,0.18,0.05,0.01,-0.0,0.0,0.0,100
1748227318.7278206,0.1,-0.02,0.01,-0.0,0.0,-0.0,99
1748227318.728147,0.09,-0.02,-0.03,-0.0,0.01,-0.0,100
1748227318.743823,0.17,0.05,-0.03,-0.0,0.0,-0.0,100
1748227318.744128,0.16,0.09,-0.02,-0.0,0.0,0.0,100
1748227318.7599995,0.15,0.1,0.04,-0.0,0.0,0.0,100
1748227318.7758536,0.1,0.17,-0.02,0.0,0.0,0.0,99
1748227318.7761497,0.05,0.12,-0.06,-0.0,0.0,0.0,100
1748227318.7919734,0.12,0.03,-0.03,-0.0,0.0,-0.0,100
1748227318.807842,0.18,0.08,-0.03,-0.0,0.0,-0.0,99
1748227318.8081567,0.17,0.1,-0.06,-0.0,0.0,-0.0,100
1748227318.823937,0.17,0.08,-0.04,-0.0,0.0,0.0,100
1748227318.8242278,0.15,0.08,0.05,-0.0,0.0,0.0,100
1748227318.8400104,0.11,0.04,0.03,-0.0,0.0,0.0,100
1748227318.8559067,0.11,0.03,-0.03,-0.0,0.0,0.0,99
1748227318.8562067,0.06,-0.03,-0.03,-0.0,0.01,-0.0,100
1748227318.8719096,0.12,-0.11,-0.01,-0.0,0.0,-0.0,100
1748227318.887896,0.12,-0.15,-0.02,-0.01,0.0,-0.0,99
1748227318.8882148,0.05,-0.07,-0.03,-0.0,0.0,0.0,100
1748227318.9040313,0.08,0.0,-0.02,-0.0,0.0,0.0,100
1748227318.9043179,0.11,-0.01,-0.05,-0.0,0.0,-0.0,100
1748227318.92001,0.12,-0.01,-0.08,-0.0,0.0,0.0,100
1748227318.935916,0.02,0.12,-0.12,0.0,0.01,0.0,99
1748227318.9362352,-0.01,0.1,-0.11,-0.0,0.01,0.0,100
1748227318.9520075,0.03,0.04,-0.07,-0.0,0.0,0.0,100
1748227318.967948,0.04,0.03,-0.07,-0.0,0.0,0.0,99
1748227318.9682598,0.09,-0.04,-0.03,-0.0,0.0,0.0,100
1748227318.9839919,0.13,0.01,-0.02,-0.0,0.0,0.0,100
1748227318.984298,0.11,0.05,0.01,-0.0,0.0,-0.0,100
1748227319.0000784,0.11,0.05,0.01,-0.0,0.0,-0.0,100
1748227319.0159705,0.14,0.01,0.0,-0.0,0.0,-0.0,99
1748227319.016324,0.11,-0.01,0.0,-0.0,0.0,-0.0,100
1748227319.0320745,0.11,0.0,0.0,-0.0,0.0,-0.0,100
1748227319.0479672,0.09,-0.01,-0.01,0.0,0.0,-0.0,99
1748227319.048283,0.09,-0.01,-0.01,0.0,0.0,-0.0,100
1748227319.0640218,0.11,0.0,0.0,-0.0,0.0,-0.0,100
1748227319.0643287,0.07,0.05,-0.04,-0.0,0.0,-0.0,100
1748227319.0800586,0.07,0.05,-0.04,-0.0,0.0,-0.0,100
1748227319.0959933,0.11,-0.01,0.0,-0.0,0.0,-0.0,99
1748227319.0963001,0.08,-0.07,0.0,-0.0,0.0,0.0,100
1748227319.1120648,0.03,-0.03,-0.04,-0.0,0.0,-0.0,100
1748227319.127993,0.07,0.04,-0.06,-0.0,0.0,-0.0,99
1748227319.1283095,0.06,0.05,-0.03,-0.0,0.0,-0.0,100
1748227319.1440494,0.03,0.0,0.01,-0.0,0.0,-0.0,100
1748227319.1443446,0.11,-0.09,-0.01,-0.01,0.0,0.0,100
1748227319.1601608,0.16,-0.06,-0.04,-0.0,0.0,0.0,100
1748227319.1760595,0.12,-0.01,-0.02,-0.0,0.0,0.0,100
1748227319.176379,0.13,0.04,-0.03,-0.0,0.01,0.0,100
1748227319.192125,0.1,0.12,-0.06,0.0,0.01,0.0,100
1748227319.2079883,0.03,0.03,-0.01,-0.0,0.0,0.0,99
1748227319.2083726,0.07,-0.06,0.01,-0.0,0.0,0.0,100
1748227319.2240558,0.07,-0.07,-0.03,-0.0,0.0,-0.0,100
1748227319.2243533,0.11,-0.11,-0.03,-0.01,0.0,0.0,100
1748227319.240084,0.16,-0.07,-0.01,-0.0,0.0,0.0,100
1748227319.2559679,0.13,-0.01,-0.03,-0.0,0.0,0.0,100
1748227319.2562716,0.1,0.0,-0.02,-0.0,0.0,0.0,100
1748227319.2720783,0.11,0.0,-0.05,-0.0,0.0,-0.0,100
1748227319.288025,0.16,0.06,-0.07,-0.0,0.0,-0.0,99
1748227319.2883255,0.11,0.14,-0.03,0.0,0.0,0.0,100
1748227319.3040886,0.01,0.04,0.0,-0.0,0.0,0.0,100
1748227319.304394,-0.01,0.02,0.06,-0.0,0.01,0.0,100
1748227319.320217,0.1,0.15,0.08,0.0,0.0,0.0,100
1748227319.3361173,0.11,0.18,0.03,-0.0,0.0,0.0,100
